county,state,capital,population
Aachen,NW,Aachen,555465
Ahrweiler,RP,Bad Neuenahr-Ahrweiler,129727
Aichach-Friedberg,BY,Aichach,133596
Alb-Donau-Kreis,BW,Ulm,196047
Altenburger Land,TH,Altenburg,90118
Altenkirchen (Westerwald),RP,Altenkirchen (Westerwald),128705
Altmarkkreis Salzwedel,ST,Salzwedel,83765
Altötting,BY,Altötting,111210
Alzey-Worms,RP,Alzey,129244
Amberg-Sulzbach,BY,Amberg,103109
Ammerland,NI,Westerstede,124071
Anhalt-Bitterfeld,ST,Köthen,159854
Ansbach,BY,Ansbach,183949
Aschaffenburg,BY,Aschaffenburg,174208
Augsburg,BY,Augsburg,251534
Aurich,NI,Aurich,189848
Bad Dürkheim,RP,Bad Dürkheim,132660
Bad Kissingen,BY,Bad Kissingen,103218
Bad Kreuznach,RP,Bad Kreuznach,158080
Bad Tölz-Wolfratshausen,BY,Bad Tölz,127227
Bamberg,BY,Bamberg,147086
Barnim,BB,Eberswalde,182760
Bautzen,SN,Bautzen,300880
Bayreuth,BY,Bayreuth,103656
Berchtesgadener Land,BY,Bad Reichenhall,105722
Bergstraße,HE,Heppenheim,269694
Bernkastel-Wittlich,RP,Wittlich,112262
Biberach,BW,Biberach an der Riß,199742
Birkenfeld,RP,Birkenfeld,80720
Böblingen,BW,Böblingen,391640
Bodenseekreis,BW,Friedrichshafen,216227
Börde,ST,Haldensleben,171734
Borken,NW,Borken,370676
Breisgau-Hochschwarzwald,BW,Freiburg im Breisgau,262795
Burgenlandkreis,ST,Naumburg (Saale),180190
Calw,BW,Calw,158397
Celle,NI,Celle,178936
Cham,BY,Cham,127882
Cloppenburg,NI,Cloppenburg,169348
Coburg,BY,Coburg,86906
Cochem-Zell,RP,Cochem,61587
Coesfeld,NW,Coesfeld,219929
Cuxhaven,NI,Cuxhaven,198213
Dachau,BY,Dachau,153884
Dahme-Spreewald,BB,Lübben (Spreewald),169067
Darmstadt-Dieburg,HE,Darmstadt,297399
Deggendorf,BY,Deggendorf,119326
Diepholz,NI,Diepholz,216886
Dillingen an der Donau,BY,Dillingen an der Donau,96021
Dingolfing-Landau,BY,Dingolfing,96217
Dithmarschen,SH,Heide,133210
Donau-Ries,BY,Donauwörth,133496
Donnersbergkreis,RP,Kirchheimbolanden,75101
Düren,NW,Düren,263722
Ebersberg,BY,Ebersberg,142142
Eichsfeld,TH,Heilbad Heiligenstadt,100380
Eichstätt,BY,Eichstätt,132341
Eifelkreis Bitburg-Prüm,RP,Bitburg,98561
Elbe-Elster,BB,Herzberg (Elster),102638
Emmendingen,BW,Emmendingen,165383
Emsland,NI,Meppen,325657
Ennepe-Ruhr-Kreis,NW,Schwelm,324296
Enzkreis,BW,Pforzheim,198905
Erding,BY,Erding,137660
Erlangen-Höchstadt,BY,Erlangen,136271
Erzgebirgskreis,SN,Annaberg-Buchholz,337696
Esslingen,BW,Esslingen am Neckar,533859
Euskirchen,NW,Euskirchen,192840
Forchheim,BY,Forchheim,116099
Freising,BY,Freising,179116
Freudenstadt,BW,Freudenstadt,117935
Freyung-Grafenau,BY,Freyung,78355
Friesland,NI,Jever,98460
Fulda,HE,Fulda,222584
Fürstenfeldbruck,BY,Fürstenfeldbruck,219320
Fürth,BY,Zirndorf,117387
Garmisch-Partenkirchen,BY,Garmisch-Partenkirchen,88467
Germersheim,RP,Germersheim,129075
Gießen,HE,Gießen,268876
Gifhorn,NI,Gifhorn,175920
Göppingen,BW,Göppingen,257253
Görlitz,SN,Görlitz,254894
Goslar,NI,Goslar,137014
Gotha,TH,Gotha,135452
Göttingen,NI,Göttingen,328074
Grafschaft Bentheim,NI,Nordhorn,136511
Greiz,TH,Greiz,98159
Groß-Gerau,HE,Groß-Gerau,274526
Günzburg,BY,Günzburg,125747
Gütersloh,NW,Gütersloh,364083
